Chromosome	Start	Stop	Length	Strand	Gene Symbol	gene_biotype	gene_id	gene_name	gene_source	gene_version	r542	r543	r544	r545	r546	r547	r548	r549
12	49366584	49527426	160842	+	ENSG00000123352	protein_coding	ENSG00000123352	SPATS2	ensembl_havana	18	1.0882	1.09265	1.04437	1.03166	1.09778	1.11473	1.04323	1.06688
12	55818041	55821880	3839	+	ENSG00000123353	protein_coding	ENSG00000123353	ORMDL2	ensembl_havana	10	2.77476	2.74058	1.95886	2.16547	2.6043	2.67406	1.59085	2.39763
12	52022832	52059508	36676	+	ENSG00000123358	protein_coding	ENSG00000123358	NR4A1	ensembl_havana	20	1.03317	1.06628	1.10051	1.1344	1.03296	1.04443	1.00161	1.0041
12	53938831	53946545	7714	+	ENSG00000123364	protein_coding	ENSG00000123364	HOXC13	ensembl_havana	5	3.44566	2.43677	1.35195	1.34908	3.23187	2.743	1.01151	1.0093
12	55966781	55972790	6009	+	ENSG00000123374	protein_coding	ENSG00000123374	CDK2	ensembl_havana	11	19.7246	18.456	8.09558	9.65559	12.8805	13.0669	16.1887	22.1308
12	57128483	57213362	84879	+	ENSG00000123384	protein_coding	ENSG00000123384	LRP1	ensembl_havana	14	1.06379	1.06917	1.03747	1.04966	1.00878	1.01003	1.09237	1.11956
12	53973126	53977644	4518	+	ENSG00000123388	protein_coding	ENSG00000123388	HOXC11	ensembl_havana	4	3.1021	2.90749	1.45212	1.64784	3.46023	4.02032	1.01964	1.00794
12	52069246	52077496	8250	+	ENSG00000123395	protein_coding	ENSG00000123395	ATG101	ensembl_havana	15	1.96074	1.84806	2.10355	2.17826	1.58262	1.61137	1.65625	1.94929
12	54292111	54301016	8905	-	ENSG00000123405	protein_coding	ENSG00000123405	NFE2	ensembl_havana	14	1.05434	1.04627	1.0029	1.00329	1.0386	1.04218	1.00997	1
12	53954903	53958957	4054	+	ENSG00000123407	protein_coding	ENSG00000123407	HOXC12	ensembl_havana	4	1.00746	1	1	1	1.87625	1.91407	1	1
12	56007659	56038436	30777	+	ENSG00000123411	protein_coding	ENSG00000123411	IKZF4	ensembl_havana	15	1.114	1.12606	1.18735	1.16453	1.21316	1.24976	1.15092	1.20506
12	54121277	54189009	67732	-	ENSG00000123415	protein_coding	ENSG00000123415	SMUG1	ensembl_havana	16	1.10985	1.10037	1.14125	1.13699	1.08501	1.0865	1.06683	1.08925
12	49127782	49131398	3616	-	ENSG00000123416	protein_coding	ENSG00000123416	TUBA1B	ensembl_havana	15	612.656	538.677	275.55	354.931	611.669	621.402	673.631	972.197
12	57771492	57782542	11050	+	ENSG00000123427	protein_coding	ENSG00000123427	EEF1AKMT3	ensembl_havana	17	2.12182	2.02221	1.86102	1.93237	1.63256	1.58712	1.87006	2.14452
11	47572197	47578977	6780	-	ENSG00000123444	protein_coding	ENSG00000123444	KBTBD4	ensembl_havana	14	3.03998	3.10394	2.40645	2.09992	5.16643	6.01061	4.41179	5.04753
9	133663560	133739956	76396	-	ENSG00000123453	protein_coding	ENSG00000123453	SARDH	ensembl_havana	19	1	1.0009	1.00711	1.00498	1.00037	1.00033	1.01394	1.01314
1	46632737	46673868	41131	-	ENSG00000123472	protein_coding	ENSG00000123472	ATPAF1	ensembl_havana	13	1.99789	1.97	1.90649	1.87671	3.07489	2.90534	1.68764	2.10721
1	47250139	47314893	64754	-	ENSG00000123473	protein_coding	ENSG00000123473	STIL	ensembl_havana	17	2.58906	2.46133	2.00345	2.01566	3.61686	3.37995	2.85357	3.56784
2	233833416	233854567	21151	-	ENSG00000123485	protein_coding	ENSG00000123485	HJURP	ensembl_havana	12	2.40284	2.52917	2.12589	2.24544	3.81856	3.9405	3.29955	4.17037
X	115003975	115019978	16003	-	ENSG00000123496	protein_coding	ENSG00000123496	IL13RA2	ensembl_havana	8	1.67852	1.74665	11.6676	9.01662	1.02685	1.01721	1.44	1.65206
6	116118909	116158748	39839	-	ENSG00000123500	protein_coding	ENSG00000123500	COL10A1	ensembl_havana	10	1.03341	1.06119	1.01103	1.00808	1.03883	1.02577	1.01337	1.0189
6	110874770	110898880	24110	+	ENSG00000123505	protein_coding	ENSG00000123505	AMD1	ensembl_havana	19	21.5199	18.4782	18.1827	15.8399	49.1193	50.1082	15.0523	18.4497
6	96889315	96897892	8577	-	ENSG00000123545	protein_coding	ENSG00000123545	NDUFAF4	ensembl_havana	6	1.8005	2.0248	3.97242	3.79827	3.00404	2.87413	2.54876	3.06114
6	99432325	99521729	89404	-	ENSG00000123552	protein_coding	ENSG00000123552	USP45	ensembl_havana	18	1.33391	1.34832	1.32218	1.32738	1.32171	1.31534	1.20087	1.26873
X	103675496	103688159	12663	-	ENSG00000123562	protein_coding	ENSG00000123562	MORF4L2	ensembl_havana	18	29.8654	27.233	29.0226	29.884	39.6528	39.5496	27.5492	38.9198
X	103822327	103832258	9931	-	ENSG00000123570	protein_coding	ENSG00000123570	RAB9B	ensembl_havana	4	1.10964	1.11409	1	1.02653	1.00288	1	1.74477	2.01825
X	105822539	105958611	136072	+	ENSG00000123572	protein_coding	ENSG00000123572	NRK	ensembl_havana	17	1.00489	1.00353	1.00133	1.00086	1.26696	1.25283	1.24525	1.29884
X	104166453	104195903	29450	+	ENSG00000123575	protein_coding	ENSG00000123575	FAM199X	ensembl_havana	9	7.48162	7.12675	5.39701	5.92052	12.9252	12.5932	5.14689	6.24057
X	13689128	13710505	21377	+	ENSG00000123595	protein_coding	ENSG00000123595	RAB9A	ensembl_havana	8	2.97802	2.70413	2.94009	2.93467	2.24095	2.26731	2.03521	2.06686
2	171315746	171434803	119057	-	ENSG00000123600	protein_coding	ENSG00000123600	METTL8	ensembl_havana	21	1.61355	1.5888	1.19915	1.20453	1.57617	1.55833	1.3287	1.40505
2	165857475	165953852	96377	-	ENSG00000123607	protein_coding	ENSG00000123607	TTC21B	ensembl_havana	16	1.34483	1.36015	1.48879	1.51928	1.2161	1.1873	1.27087	1.41744
2	151270470	151289895	19425	-	ENSG00000123609	protein_coding	ENSG00000123609	NMI	ensembl_havana	11	2.60067	2.58197	1.60032	1.52285	1.94239	1.85974	1.58485	1.63872
2	151357592	151380047	22455	+	ENSG00000123610	protein_coding	ENSG00000123610	TNFAIP6	ensembl_havana	5	1.01886	1.02905	1.67131	1.43014	1	1.00223	1.00264	1
2	157526767	157628865	102098	-	ENSG00000123612	protein_coding	ENSG00000123612	ACVR1C	ensembl_havana	16	1.00089	1.00168	1.00582	1.00487	1.02497	1.02134	1.00377	1.01229
2	159318979	159616570	297591	-	ENSG00000123636	protein_coding	ENSG00000123636	BAZ2B	ensembl_havana	19	1.13654	1.14856	1.04821	1.0402	1.10798	1.1037	1.04033	1.06193
5	151437046	151492380	55334	+	ENSG00000123643	protein_coding	ENSG00000123643	SLC36A1	ensembl_havana	14	1.90956	1.85133	1.36775	1.32213	1.31219	1.33801	1.65282	1.78543
1	211743457	211830764	87307	-	ENSG00000123684	protein_coding	ENSG00000123684	LPGAT1	ensembl_havana	13	3.72369	3.34931	4.16917	4.24551	8.29304	8.04958	2.2605	2.74466
1	212686417	212699841	13424	-	ENSG00000123685	protein_coding	ENSG00000123685	BATF3	ensembl_havana	9	1	1.00767	1.00193	1.00872	1.00213	1.00187	1.01763	1.02938
1	209675412	209676391	979	+	ENSG00000123689	protein_coding	ENSG00000123689	G0S2	ensembl_havana	6	1.52522	1.66636	1	1.08969	1	1.02558	23.5439	36.749
17	70168673	70180045	11372	+	ENSG00000123700	protein_coding	ENSG00000123700	KCNJ2	ensembl_havana	5	1.0133	1.00604	1.00227	1.00257	1.01511	1.01321	1	1
X	132203024	132219481	16457	-	ENSG00000123728	protein_coding	ENSG00000123728	RAP2C	ensembl_havana	10	13.9908	11.9926	11.4006	10.4116	17.9424	18.7814	9.02353	10.0552
4	121801318	121817022	15704	+	ENSG00000123737	protein_coding	ENSG00000123737	EXOSC9	ensembl_havana	13	3.27819	3.50529	2.69676	3.05289	2.96866	2.86601	3.43116	4.48202
4	109709989	109730071	20082	-	ENSG00000123739	protein_coding	ENSG00000123739	PLA2G12A	ensembl_havana	11	4.46398	4.23148	2.62724	2.51128	4.55341	4.39375	2.64873	3.04811
19	41354417	41364166	9749	-	ENSG00000123810	protein_coding	ENSG00000123810	B9D2	ensembl_havana	9	1	1	1.01326	1.01201	1.01763	1.0077	1.04552	1.02207
19	40691514	40725785	34271	-	ENSG00000123815	protein_coding	ENSG00000123815	COQ8B	ensembl_havana	13	1.17916	1.1633	1.18107	1.20327	1.24242	1.30831	1.13726	1.16009
1	207034366	207081025	46659	+	ENSG00000123836	protein_coding	ENSG00000123836	PFKFB2	ensembl_havana	15	4.89011	4.56236	1.55416	1.53007	4.55802	4.51863	2.10899	2.52323
1	207088860	207099994	11134	+	ENSG00000123843	protein_coding	ENSG00000123843	C4BPB	ensembl_havana	13	1.0163	1.0185	1	1	1	1	1.18866	1.23511
19	52592038	52597346	5308	+	ENSG00000123870	transcribed_unprocessed_pseudogene	ENSG00000123870	ZNF137P	havana	11	2.13965	2.23549	1.01948	1	2.13441	1.9381	1.14122	1.18916
11	88113251	88175444	62193	-	ENSG00000123892	protein_coding	ENSG00000123892	RAB38	ensembl_havana	12	1.06274	1.06238	1.01954	1.02165	1	1.00121	1.15841	1.21045
11	94377316	94401420	24104	-	ENSG00000123901	protein_coding	ENSG00000123901	GPR83	ensembl_havana	9	1.00251	1.00142	1	1	1	1	1.027	1.04165
8	140520156	140635634	115478	-	ENSG00000123908	protein_coding	ENSG00000123908	AGO2	ensembl_havana	12	3.56733	4.03869	1.85847	1.86379	3.001	3.01016	2.47236	3.30939
4	2247432	2262110	14678	-	ENSG00000123933	protein_coding	ENSG00000123933	MXD4	ensembl_havana	17	1.62026	1.47954	1.26776	1.24727	1.35327	1.31899	2.34038	2.48292
9	89311195	89316704	5509	+	ENSG00000123975	protein_coding	ENSG00000123975	CKS2	ensembl_havana	5	15.9611	15.4344	9.54214	7.99175	17.469	16.5255	9.3776	13.0029
2	227871054	227924345	53291	+	ENSG00000123977	protein_coding	ENSG00000123977	DAW1	ensembl_havana	10	1.02441	1.02835	1.0034	1.00769	1.00054	1	1.04774	1.07604
2	222860942	222944640	83698	+	ENSG00000123983	protein_coding	ENSG00000123983	ACSL3	ensembl_havana	15	3.95242	3.63856	3.63822	3.39861	7.89343	7.33371	3.51391	4.26805
2	219538954	219543810	4856	-	ENSG00000123989	protein_coding	ENSG00000123989	CHPF	ensembl_havana	15	9.44595	8.02111	11.1168	12.1628	10.2622	11.8227	5.39877	5.7999
2	219372043	219400023	27980	-	ENSG00000123992	protein_coding	ENSG00000123992	DNPEP	ensembl_havana	20	1.74805	1.57675	1.62285	1.65485	2.02899	2.09262	1.35422	1.54467
2	219569162	219575712	6550	+	ENSG00000123999	protein_coding	ENSG00000123999	INHA	ensembl_havana	5	1.01847	1.03145	1.02763	1.01787	1.01312	1.00765	1.00452	1.00547
2	219550728	219571860	21132	-	ENSG00000124006	protein_coding	ENSG00000124006	OBSL1	ensembl_havana	15	1.56536	1.3737	1.03793	1.07341	1.70494	1.74956	1.2744	1.34447
16	67943474	67969602	26128	-	ENSG00000124067	protein_coding	ENSG00000124067	SLC12A4	ensembl_havana	17	1.8358	1.80555	1.60564	1.67102	1.13157	1.17909	1.41103	1.49545
16	67662945	67667266	4321	-	ENSG00000124074	protein_coding	ENSG00000124074	ENKD1	ensembl_havana	12	1.71398	1.61185	1.1496	1.1287	1.1326	1.24916	1.06847	1.15768
20	56491492	56525926	34434	-	ENSG00000124091	protein_coding	ENSG00000124091	GCNT7	ensembl_havana	10	1.00878	1.01595	1.00826	1.00425	1.00416	1.00436	1.00773	1.00521
20	57487959	57495367	7408	-	ENSG00000124097	protein_coding	ENSG00000124097	HMGB1P1	havana	8	1.56796	1.7512	1.76293	1.75586	2.54577	2.28812	1.35818	1.7763
20	56358974	56368664	9690	+	ENSG00000124098	protein_coding	ENSG00000124098	FAM210B	ensembl_havana	10	9.63375	8.56147	3.47624	3.6581	4.98231	4.86812	4.41037	5.71087
20	45174902	45176545	1643	+	ENSG00000124102	protein_coding	ENSG00000124102	PI3	ensembl_havana	5	69.4268	58.176	2.13309	2.08669	6.17857	6.45566	1.18007	1.1746
20	45833799	45843277	9478	+	ENSG00000124104	protein_coding	ENSG00000124104	SNX21	ensembl_havana	19	1.44062	1.31228	1.11215	1.18054	1.46965	1.50737	1.85995	2.22969
20	45252239	45254565	2326	-	ENSG00000124107	protein_coding	ENSG00000124107	SLPI	ensembl_havana	5	36.2006	30.4784	1.60028	1.49076	11.1363	11.4953	1.15263	1.185
20	45747944	45791933	43989	-	ENSG00000124116	protein_coding	ENSG00000124116	WFDC3	ensembl_havana	19	1.00138	1.00234	1.00353	1	1.0013	1	1.00202	1.00734
20	44475874	44494604	18730	+	ENSG00000124120	protein_coding	ENSG00000124120	TTPAL	ensembl_havana	11	6.55023	6.25742	2.88712	3.02838	4.00093	4.17486	4.44814	6.01599
20	48624252	48828000	203748	-	ENSG00000124126	protein_coding	ENSG00000124126	PREX1	ensembl_havana	14	1.01039	1.01736	1.09543	1.11076	1.00562	1.0059	1.00029	1
20	45091214	45101128	9914	-	ENSG00000124134	protein_coding	ENSG00000124134	KCNS1	ensembl_havana	9	2.06475	2.00435	1.00782	1.01476	1.45078	1.4748	1.10146	1.07596
20	46021690	46060151	38461	+	ENSG00000124140	protein_coding	ENSG00000124140	SLC12A5	ensembl_havana	15	1	1.00268	1	1.00228	1.00521	1.0013	1.00231	1.00373
20	38601809	38651036	49227	+	ENSG00000124143	protein_coding	ENSG00000124143	ARHGAP40	ensembl_havana	11	1.02888	1.03487	1	1	1.00582	1.01322	1.03666	1.03715
20	45325288	45348425	23137	-	ENSG00000124145	protein_coding	ENSG00000124145	SDC4	ensembl_havana	6	31.7743	26.5482	18.6414	17.4253	9.76013	10.0231	8.98031	12.0148
20	47501887	47656878	154991	+	ENSG00000124151	protein_coding	ENSG00000124151	NCOA3	ensembl_havana	19	2.05683	2.14654	1.46375	1.47325	2.01577	2.03561	1.44723	1.68183
20	45416084	45456935	40851	+	ENSG00000124155	protein_coding	ENSG00000124155	PIGT	ensembl_havana	19	2.22833	2.15651	2.19817	2.25816	2.16131	2.14676	2.2348	2.73453
20	45293445	45308530	15085	-	ENSG00000124159	protein_coding	ENSG00000124159	MATN4	ensembl_havana	17	1.00401	1.00228	1.00857	1.00582	1.01329	1.00664	1	1
20	46060991	46089963	28972	-	ENSG00000124160	protein_coding	ENSG00000124160	NCOA5	ensembl_havana	12	1.8759	1.68499	1.26595	1.27479	2.30721	2.31102	2.09468	2.32187
20	58389229	58451102	61873	+	ENSG00000124164	protein_coding	ENSG00000124164	VAPB	ensembl_havana	16	2.64056	2.59152	1.64356	1.63957	2.31171	2.35362	2.04382	2.37876
20	50731580	50756796	25216	+	ENSG00000124171	protein_coding	ENSG00000124171	PARD6B	ensembl_havana	9	3.54171	3.48498	3.43839	3.16363	3.37558	3.37711	3.23038	4.67036
20	59025475	59032346	6871	-	ENSG00000124172	protein_coding	ENSG00000124172	ATP5F1E	ensembl_havana	10	2.23604	2.53269	1.9067	1.82181	2.46003	2.29556	2.48328	2.91086
20	41402083	41618385	216302	-	ENSG00000124177	protein_coding	ENSG00000124177	CHD6	ensembl_havana	16	1.34595	1.33001	1.10017	1.10054	1.22701	1.21693	1.18178	1.29559
20	41136960	41196802	59842	+	ENSG00000124181	protein_coding	ENSG00000124181	PLCG1	ensembl_havana	15	1.33864	1.35516	1.29036	1.28858	1.38441	1.39832	1.47362	1.65675
20	43914852	44069617	154765	+	ENSG00000124191	protein_coding	ENSG00000124191	TOX2	ensembl_havana	18	1.01446	1.01398	1.01387	1.01778	1.00148	1.00243	1.01243	1.02085
20	43457893	43466047	8154	+	ENSG00000124193	protein_coding	ENSG00000124193	SRSF6	ensembl_havana	16	21.749	23.6119	32.4515	26.5573	31.5302	29.2784	21.5784	31.7174
20	44247099	44280948	33849	+	ENSG00000124194	protein_coding	ENSG00000124194	GDAP1L1	ensembl_havana	17	1	1	1.00764	1.00259	1.00339	1.00074	1	1
20	48921711	49036694	114983	+	ENSG00000124198	protein_coding	ENSG00000124198	ARFGEF2	ensembl_havana	10	2.52569	2.43303	2.16776	2.14573	2.67749	2.58374	2.63642	3.30775
20	49237946	49278427	40481	-	ENSG00000124201	protein_coding	ENSG00000124201	ZNFX1	ensembl_havana	15	3.93505	3.71182	2.06492	2.04194	1.94909	2.02883	2.48885	2.87922
20	49046246	49096961	50715	+	ENSG00000124207	protein_coding	ENSG00000124207	CSE1L	ensembl_havana	17	15.8809	14.2961	11.4658	11.3871	19.1404	18.2693	16.5547	21.7788
20	58309715	58367508	57793	+	ENSG00000124209	protein_coding	ENSG00000124209	RAB22A	ensembl_havana	4	3.4964	3.6182	2.14713	2.16585	2.21644	2.14678	3.19202	4.13338
20	49503874	49568138	64264	-	ENSG00000124212	protein_coding	ENSG00000124212	PTGIS	ensembl_havana	6	1.23909	1.17097	1	1.00137	1.04725	1.03662	1	1
20	49113339	49188368	75029	-	ENSG00000124214	protein_coding	ENSG00000124214	STAU1	ensembl_havana	21	5.29251	4.67043	3.75757	3.82577	4.90714	4.99532	3.44554	3.91964
20	59958423	60034012	75589	+	ENSG00000124215	protein_coding	ENSG00000124215	CDH26	ensembl_havana	17	1.0076	1.01226	1	1	1.00114	1	1	1
20	49982980	49988887	5907	+	ENSG00000124216	protein_coding	ENSG00000124216	SNAI1	ensembl_havana	4	1.26626	1.20925	1.19698	1.2428	1.0776	1.06358	1.04508	1.02428
20	50958818	50963930	5112	+	ENSG00000124217	protein_coding	ENSG00000124217	MOCS3	ensembl_havana	5	5.04085	4.88887	3.01308	3.18718	5.11896	5.48648	3.59275	4.19166
20	58651272	58679527	28255	+	ENSG00000124222	protein_coding	ENSG00000124222	STX16	ensembl_havana	23	4.8848	5.37055	5.56003	5.30991	3.6605	3.5439	3.21172	4.12953
20	58231789	58286400	54611	-	ENSG00000124224	transcribed_unprocessed_pseudogene	ENSG00000124224	PPP4R1L	havana	20	1	1	1	1.00664	1	1	1	1
20	57648392	57711537	63145	-	ENSG00000124225	protein_coding	ENSG00000124225	PMEPA1	ensembl_havana	16	3.2548	2.81584	1.97655	1.90467	1.59844	1.65513	1.04485	1.06644
20	49936336	49953886	17550	+	ENSG00000124226	protein_coding	ENSG00000124226	RNF114	ensembl_havana	11	5.17928	4.7387	2.66925	2.90794	4.36098	4.27283	3.15102	4.11185
20	49219347	49244078	24731	+	ENSG00000124228	protein_coding	ENSG00000124228	DDX27	ensembl_havana	15	2.02215	1.99926	1.57686	1.71122	1.9347	1.97458	1.73549	1.99112
20	50794894	50877178	82284	+	ENSG00000124243	protein_coding	ENSG00000124243	BCAS4	ensembl_havana	19	1.01468	1.02274	1.01728	1.01392	1.01229	1.0245	1.0155	1.01526
20	45372557	45407890	35333	-	ENSG00000124251	protein_coding	ENSG00000124251	TP53TG5	ensembl_havana	11	1.00779	1.00912	1.00303	1.00428	1.01575	1.01622	1.00936	1.02125
5	7851186	7906026	54840	+	ENSG00000124275	protein_coding	ENSG00000124275	MTRR	ensembl_havana	15	2.7252	2.72676	1.92553	2.0429	2.47939	2.39573	1.8815	2.26003
5	7859159	7869038	9879	-	ENSG00000124279	protein_coding	ENSG00000124279	FASTKD3	ensembl_havana	12	4.47192	4.2844	2.2851	2.47251	5.06562	4.85745	2.66508	3.22871
19	33386950	33521824	134874	-	ENSG00000124299	protein_coding	ENSG00000124299	PEPD	ensembl_havana	16	1.22201	1.18176	1.12078	1.1467	1.39464	1.46689	1.22901	1.23157
19	33621953	33773510	151557	+	ENSG00000124302	protein_coding	ENSG00000124302	CHST8	ensembl_havana	13	1.0014	1.00159	1	1	1	1.00017	1	1
X	53225828	53321351	95523	-	ENSG00000124313	protein_coding	ENSG00000124313	IQSEC2	ensembl_havana	19	1.04085	1.0399	1.02436	1.02574	1.07318	1.0713	1.0127	1.02478
X	155881345	155943770	62425	+	ENSG00000124333	protein_coding	ENSG00000124333	VAMP7	ensembl_havana	16	1.55816	1.5503	1.79442	1.74271	2.8537	2.85024	2.10706	2.43041
X	155997696	156010818	13122	+	ENSG00000124334	protein_coding	ENSG00000124334	IL9R	ensembl_havana	18	1.02651	1.01962	1.00493	1.00781	1.01419	1.00763	1.01015	1.00273
X	2752040	2816501	64461	+	ENSG00000124343	protein_coding	ENSG00000124343	XG	ensembl_havana	14	1.20317	1.14914	1.01163	1.01195	1.00222	1.00155	1.00046	1.00111
2	73828916	73873660	44744	+	ENSG00000124356	protein_coding	ENSG00000124356	STAMBP	ensembl_havana	17	3.23818	3.07034	2.07889	2.08393	2.31189	2.2406	2.65566	3.50766
2	71064344	71079809	15465	+	ENSG00000124357	protein_coding	ENSG00000124357	NAGK	ensembl_havana	13	1.68844	1.87103	1.11442	1.16087	1.98179	1.82754	1.68571	2.04721
2	71109684	71130240	20556	-	ENSG00000124370	protein_coding	ENSG00000124370	MCEE	ensembl_havana	11	1.34725	1.35411	1.15346	1.12388	1.36514	1.30329	1.12953	1.19363
2	71182738	71227104	44366	-	ENSG00000124374	protein_coding	ENSG00000124374	PAIP2B	ensembl_havana	9	1.41314	1.40243	1.11539	1.11083	1.22019	1.23251	1.21606	1.3233
2	69893956	69905576	11620	+	ENSG00000124380	protein_coding	ENSG00000124380	SNRNP27	ensembl_havana	11	3.04592	3.10088	3.68798	3.56424	4.16311	3.99506	4.11126	4.95314
2	71130310	71150102	19792	+	ENSG00000124383	protein_coding	ENSG00000124383	MPHOSPH10	ensembl_havana	11	2.18894	2.0374	1.94845	1.94055	2.49086	2.41434	2.11064	2.52552
4	43898962	43899352	390	+	ENSG00000124399	processed_pseudogene	ENSG00000124399	NDUFB4P12	havana	4	1.15829	1.08804	1.13656	1	1.62531	1.13	1	1
4	42408373	42657122	248749	-	ENSG00000124406	protein_coding	ENSG00000124406	ATP8A1	ensembl_havana	17	1.00863	1.00649	1.01871	1.01577	1.00046	1.0001	1.04888	1.06199
17	20999596	21043761	44165	-	ENSG00000124422	protein_coding	ENSG00000124422	USP22	ensembl_havana	12	4.97331	4.41362	3.49639	3.59932	5.91289	6.06945	5.72469	7.0384
X	85277396	85379718	102322	-	ENSG00000124429	protein_coding	ENSG00000124429	POF1B	ensembl_havana	18	1	1	1	1	1.00672	1.00269	1.00145	1.00105
19	43596392	43601158	4766	+	ENSG00000124444	protein_coding	ENSG00000124444	ZNF576	ensembl_havana	16	2.17987	2.03019	1.59134	1.83521	2.62293	2.76923	1.78215	2.21135
19	43912624	43935283	22659	-	ENSG00000124459	protein_coding	ENSG00000124459	ZNF45	ensembl_havana	12	1.62471	1.61369	1.29897	1.27901	2.77888	2.71937	1.70506	2.0793
19	43460787	43465609	4822	-	ENSG00000124466	protein_coding	ENSG00000124466	LYPD3	ensembl_havana	9	2.04124	2.09655	1.01609	1.02428	1.64758	1.72695	1.01227	1.05949
X	43948776	43973396	24620	-	ENSG00000124479	protein_coding	ENSG00000124479	NDP	ensembl_havana	11	1.00614	1.00697	1	1	1	1	1.10815	1.134
X	41085445	41236580	151135	+	ENSG00000124486	protein_coding	ENSG00000124486	USP9X	ensembl_havana	15	3.82558	3.87819	3.0373	2.92207	3.64907	3.55236	2.14517	2.76885
6	49692358	49713591	21233	-	ENSG00000124490	protein_coding	ENSG00000124490	CRISP2	ensembl_havana	14	1	1	1.01461	1.00551	1.0054	1.00236	1	1
6	6144084	6321014	176930	-	ENSG00000124491	protein_coding	ENSG00000124491	F13A1	ensembl_havana	16	1	1	1.00058	1.00033	1	1	1.00702	1.01155
6	34018643	34155623	136980	-	ENSG00000124493	protein_coding	ENSG00000124493	GRM4	ensembl_havana	14	1.00287	1.00326	1	1	1	1.00091	1.00043	1
6	42224931	42452052	227121	-	ENSG00000124496	protein_coding	ENSG00000124496	TRERF1	ensembl_havana	13	1.01585	1.01935	1.0477	1.06186	1.00479	1.00342	1.15201	1.19641
6	34466061	34535230	69169	+	ENSG00000124507	protein_coding	ENSG00000124507	PACSIN1	ensembl_havana	11	1.03542	1.03872	1.00037	1	1.12301	1.14986	1.00043	1
6	26383096	26394875	11779	+	ENSG00000124508	protein_coding	ENSG00000124508	BTN2A2	ensembl_havana	17	1.94239	1.95318	1.19566	1.23109	1.63964	1.65258	2.08345	2.46431
6	13574227	13615159	40932	+	ENSG00000124523	protein_coding	ENSG00000124523	SIRT5	ensembl_havana	17	1.34952	1.37663	1.04542	1.04092	1.25056	1.21576	1.07372	1.13015
6	24402908	24426195	23287	+	ENSG00000124532	protein_coding	ENSG00000124532	MRS2	ensembl_havana	15	4.64256	4.51171	2.15919	2.17631	7.55613	7.39343	4.16327	5.23285
6	2765393	2786953	21560	+	ENSG00000124535	protein_coding	ENSG00000124535	WRNIP1	ensembl_havana	16	1.8038	1.664	1.97376	2.01126	3.55318	3.96405	2.6466	3.17828
6	43021623	43034157	12534	+	ENSG00000124541	protein_coding	ENSG00000124541	RRP36	ensembl_havana	7	4.43926	4.02441	2.85543	2.83546	4.95564	4.96321	3.92006	4.97365
6	26422119	26431616	9497	+	ENSG00000124549	transcribed_unprocessed_pseudogene	ENSG00000124549	BTN2A3P	havana	17	1.05896	1.0513	1.00925	1.03428	1.07749	1.04843	1.12157	1.08407
6	34757505	34773858	16353	+	ENSG00000124562	protein_coding	ENSG00000124562	SNRPC	ensembl_havana	10	1.2201	1.18252	1.15934	1.11992	1.27316	1.32306	1.18634	1.34626
6	2948159	2972166	24007	-	ENSG00000124570	protein_coding	ENSG00000124570	SERPINB6	ensembl_havana	21	1.83783	1.92963	2.14382	2.1619	1.46897	1.46516	1.8836	2.39211
6	43522334	43576039	53705	-	ENSG00000124571	protein_coding	ENSG00000124571	XPO5	ensembl_havana	18	4.63588	4.4009	4.34113	3.78199	3.52409	3.53129	3.46841	4.25087
6	43427366	43450428	23062	+	ENSG00000124574	protein_coding	ENSG00000124574	ABCC10	ensembl_havana	15	1.75019	1.731	1.31841	1.26779	1.69315	1.85443	1.52084	1.63595
6	26234212	26234988	776	-	ENSG00000124575	protein_coding	ENSG00000124575	H1-3	ensembl_havana	7	35.1439	21.0877	94.7295	71.8348	31.789	28.813	1.26688	1.41589
6	42963865	42979182	15317	-	ENSG00000124587	protein_coding	ENSG00000124587	PEX6	ensembl_havana	14	1.91033	1.80474	1.12154	1.16434	1.71072	1.70127	1.7784	2.02775
6	2987987	3019756	31769	+	ENSG00000124588	protein_coding	ENSG00000124588	NQO2	ensembl_havana	22	1.0457	1.04863	1.03825	1.04607	1.07485	1.06384	1.08754	1.14674
6	41780349	41790142	9793	+	ENSG00000124593	protein_coding	ENSG00000124593	---	havana	16	1.47278	1.57734	1.05602	1.04847	1.38451	1.32462	1.49087	1.6929
6	41033627	41097788	64161	-	ENSG00000124596	protein_coding	ENSG00000124596	OARD1	ensembl_havana	17	1.13435	1.12412	1.11284	1.10036	1.25808	1.24273	1.25227	1.34651
6	41026895	41039222	12327	-	ENSG00000124602	protein_coding	ENSG00000124602	UNC5CL	ensembl_havana	10	1.08342	1.06699	1.0021	1.01425	1.02324	1.00812	1.11496	1.18036
6	44298731	44313348	14617	-	ENSG00000124608	protein_coding	ENSG00000124608	AARS2	ensembl_havana	5	1.62077	1.58477	1.42624	1.5006	1.73071	1.76729	1.37242	1.43667
6	26017032	26017788	756	-	ENSG00000124610	protein_coding	ENSG00000124610	H1-1	ensembl_havana	5	5.68096	5.9504	1.1026	1.27101	7.2146	8.74989	1	1.04743
6	27374615	27403909	29294	+	ENSG00000124613	protein_coding	ENSG00000124613	ZNF391	ensembl_havana	9	1.18172	1.14534	1.16329	1.15287	1.5232	1.54192	1.20603	1.27053
